Ns;Ni;A;Dpar;rho_d;Nd;zeta;zeta_SE
28;27;7.20E+01;1.82;8.99E+05;6478;312.71;36
31;27;6.30E+01;1.87;;;;
30;25;1.00E+02;1.94;;;;
22;18;7.20E+01;1.97;;;;
28;22;7.00E+01;1.98;;;;
35;27;9.00E+01;2.01;;;;
41;31;9.00E+01;2.02;;;;
23;17;6.40E+01;2.04;;;;
23;17;5.40E+01;2.05;;;;
29;21;6.00E+01;2.07;;;;
18;13;4.80E+01;2.11;;;;
25;18;7.00E+01;2.12;;;;
23;16;6.40E+01;2.13;;;;
23;16;5.40E+01;2.14;;;;
23;16;6.00E+01;2.17;;;;
25;16;5.40E+01;2.19;;;;
20;12;3.60E+01;2.22;;;;
12;7;4.50E+01;2.24;;;;
29;14;5.00E+01;2.34;;;;
